MNC_Id	Spruce_contig_dir8_Name
MNC5689020	Contig2001
MNC5689021	Contig2002
MNC5689022	Contig2003
MNC5689024	Contig2005
MNC5689026	Contig2007
MNC5689027	Contig2008
MNC5689028	Contig2009
MNC5689031	Contig2012
MNC5689032	Contig2013
MNC5689033	Contig2014
MNC5689036	Contig2017
MNC5689037	Contig2018
MNC5689038	Contig2019
MNC5689039	Contig2020
MNC5689040	Contig2021
MNC5689045	Contig2026
MNC5689046	Contig2027
MNC5689047	Contig2028
MNC5689050	Contig2031
MNC5689050	Contig2031
MNC5689051	Contig2032
MNC5689052	Contig2033
MNC5689053	Contig2034
MNC5689054	Contig2035
MNC5689055	Contig2036
MNC5689058	Contig2039
MNC5689059	Contig2040
MNC5689060	Contig2041
MNC5689061	Contig2042
MNC5689062	Contig2043
MNC5689063	Contig2044
MNC5689066	Contig2047
MNC5689067	Contig2048
MNC5689068	Contig2049
MNC5689070	Contig2051
MNC5689072	Contig2053
MNC5689073	Contig2054
MNC5689075	Contig2056
MNC5689075	Contig2056
MNC5689076	Contig2057
MNC5689077	Contig2058
MNC5689078	Contig2059
MNC5689079	Contig2060
MNC5689081	Contig2062
MNC5689083	Contig2064
MNC5689084	Contig2065
MNC5689088	Contig2069
MNC5689089	Contig2070
MNC5689090	Contig2071
MNC5689091	Contig2072
MNC5689092	Contig2073
MNC5689092	Contig2073
MNC5689094	Contig2075
MNC5689096	Contig2077
MNC5689098	Contig2079
MNC5689098	Contig2079
MNC5689099	Contig2080
MNC5689100	Contig2081
MNC5689101	Contig2082
MNC5689104	Contig2085
MNC5689106	Contig2087
MNC5689107	Contig2088
MNC5689108	Contig2089
MNC5689109	Contig2090
MNC5689110	Contig2091
MNC5689111	Contig2092
MNC5689111	Contig2092
MNC5689113	Contig2094
MNC5689114	Contig2095
MNC5689115	Contig2096
MNC5689117	Contig2098
MNC5689118	Contig2099
MNC5689119	Contig2100
MNC5689120	Contig2101
MNC5689121	Contig2102
MNC5689122	Contig2103
MNC5689124	Contig2105
MNC5689125	Contig2106
MNC5689126	Contig2107
MNC5689127	Contig2108
MNC5689129	Contig2110
MNC5689130	Contig2111
MNC5689131	Contig2112
MNC5689133	Contig2114
MNC5689134	Contig2115
MNC5689136	Contig2117
MNC5689138	Contig2119
MNC5689139	Contig2120
MNC5689140	Contig2121
MNC5689142	Contig2123
MNC5689144	Contig2125
MNC5689145	Contig2126
MNC5689148	Contig2129
MNC5689149	Contig2130
MNC5689151	Contig2132
MNC5689152	Contig2133
MNC5689154	Contig2135
MNC5689155	Contig2136
MNC5689156	Contig2137
MNC5689157	Contig2138
MNC5689158	Contig2139
MNC5689158	Contig2139
MNC5689159	Contig2140
MNC5689161	Contig2142
MNC5689162	Contig2143
MNC5689163	Contig2144
MNC5689164	Contig2145
MNC5689166	Contig2147
MNC5689167	Contig2148
MNC5689169	Contig2150
MNC5689171	Contig2152
MNC5689172	Contig2153
MNC5689173	Contig2154
MNC5689174	Contig2155
MNC5689175	Contig2156
MNC5689176	Contig2157
MNC5689178	Contig2159
MNC5689179	Contig2160
MNC5689179	Contig2160
MNC5689180	Contig2161
MNC5689181	Contig2162
MNC5689182	Contig2163
MNC5689183	Contig2164
MNC5689184	Contig2165
MNC5689185	Contig2166
MNC5689185	Contig2166
MNC5689187	Contig2168
MNC5689188	Contig2169
MNC5689188	Contig2169
MNC5689189	Contig2170
MNC5689190	Contig2171
MNC5689191	Contig2172
MNC5689192	Contig2173
MNC5689193	Contig2174
MNC5689194	Contig2175
MNC5689195	Contig2176
MNC5689198	Contig2179
MNC5689199	Contig2180
MNC5689200	Contig2181
MNC5689201	Contig2182
MNC5689201	Contig2182
MNC5689202	Contig2183
MNC5689203	Contig2184
MNC5689205	Contig2186
MNC5689206	Contig2187
MNC5689208	Contig2189
MNC5689209	Contig2190
MNC5689210	Contig2191
MNC5689211	Contig2192
MNC5689213	Contig2194
MNC5689214	Contig2195
MNC5689215	Contig2196
MNC5689216	Contig2197
MNC5689217	Contig2198
MNC5689218	Contig2199
MNC5689219	Contig2200
MNC5689221	Contig2202
MNC5689223	Contig2204
MNC5689224	Contig2205
MNC5689226	Contig2207
MNC5689227	Contig2208
MNC5689229	Contig2210
MNC5689234	Contig2215
MNC5689235	Contig2216
MNC5689236	Contig2217
MNC5689238	Contig2219
MNC5689239	Contig2220
MNC5689240	Contig2221
MNC5689241	Contig2222
MNC5689242	Contig2223
MNC5689244	Contig2225
MNC5689245	Contig2226
MNC5689246	Contig2227
MNC5689249	Contig2230
MNC5689250	Contig2231
MNC5689252	Contig2233
MNC5689253	Contig2234
MNC5689254	Contig2235
MNC5689255	Contig2236
MNC5689256	Contig2237
MNC5689257	Contig2238
MNC5689261	Contig2242
MNC5689262	Contig2243
MNC5689263	Contig2244
MNC5689264	Contig2245
MNC5689264	Contig2245
MNC5689266	Contig2247
MNC5689268	Contig2249
MNC5689269	Contig2250
MNC5689271	Contig2252
MNC5689273	Contig2254
MNC5689275	Contig2256
MNC5689276	Contig2257
MNC5689277	Contig2258
MNC5689278	Contig2259
MNC5689279	Contig2260
MNC5689282	Contig2263
MNC5689282	Contig2263
MNC5689283	Contig2264
MNC5689284	Contig2265
MNC5689285	Contig2266
MNC5689288	Contig2269
MNC5689289	Contig2270
MNC5689290	Contig2271
MNC5689293	Contig2274
MNC5689294	Contig2275
MNC5689296	Contig2277
MNC5689297	Contig2278
MNC5689302	Contig2283
MNC5689303	Contig2284
MNC5689304	Contig2285
MNC5689305	Contig2286
MNC5689308	Contig2289
MNC5689309	Contig2290
MNC5689310	Contig2291
MNC5689311	Contig2292
MNC5689313	Contig2294
MNC5689314	Contig2295
MNC5689315	Contig2296
MNC5689317	Contig2298
MNC5689318	Contig2299
MNC5689319	Contig2300
MNC5689321	Contig2302
MNC5689321	Contig2302
MNC5689325	Contig2306
MNC5689327	Contig2308
MNC5689328	Contig2309
MNC5689329	Contig2310
MNC5689330	Contig2311
MNC5689331	Contig2312
