"ID"	"ANNOTATION"	"M"	"A"	"t"	"P.Value"	"B"
"MNC5694383"	"Contig7364"	"-0.335719259671996"	"0.0390635229086872"	"-4.80736856350875"	"0.000179683382861956"	"0.951463496750038"
"MNC5692102"	"Contig5083"	"-0.314274130330167"	"0.0158782885073233"	"-4.80442251711612"	"0.000180783144255599"	"0.945664385027309"
"MNC5695582"	"Contig8563"	"-0.197617604948777"	"0.0118109858480043"	"-4.80377040468911"	"0.000181027508242463"	"0.944380620721133"
"MNC5696878"	NA	"-0.497266023652822"	"-0.0194989614131084"	"-4.79676531195389"	"0.000183673924811792"	"0.930587466833046"
"MNC5695271"	"Contig8252"	"-0.334501946405409"	"0.0571291508766839"	"-4.79324137419392"	"0.000185020151243531"	"0.923646866369595"
"MNC5699299"	"Contig12280"	"-0.282077581898957"	"-0.0364657310872862"	"-4.79045905512819"	"0.000186090193358132"	"0.918166029668222"
"MNC5702847"	NA	"0.281526660238304"	"-0.0698391539766698"	"4.78827309233607"	"0.000186935326046229"	"0.913859389309318"
"MNC5700001"	"Contig12982"	"-0.276806862489811"	"0.0112976955585312"	"-4.78409190332565"	"0.000188562807491097"	"0.905620529166911"
"MNC5695609"	NA	"-0.223033295468980"	"-0.0862280539709768"	"-4.77919676296339"	"0.00019048662353069"	"0.895972600111397"
"MNC5688511"	"Contig1492"	"-0.228199485852567"	"-0.0826805944430208"	"-4.77845327584271"	"0.000190780569856665"	"0.89450703412423"
"MNC5696727"	"Contig9708"	"-0.320141925725901"	"-0.106087906550922"	"-4.76895371002077"	"0.000194577443461873"	"0.875776521879246"
"MNC5697908"	NA	"-0.309247342587211"	"-0.0834486477633983"	"-4.76739299388348"	"0.000195208599775727"	"0.872698352553368"
"MNC5697138"	NA	"-0.242130902043802"	"0.0290971138148138"	"-4.7624933086779"	"0.000197203683564560"	"0.863033212805346"
"MNC5694199"	"Contig7180"	"-0.250546227326034"	"-0.109505318956887"	"-4.76230469511374"	"0.000197280900003029"	"0.862661104812527"
"MNC5691018"	"Contig3999"	"-0.391689558318251"	"-0.0610654980547535"	"-4.76036177945909"	"0.000198078112071910"	"0.85882779879858"
"MNC5688642"	"Contig1623"	"-0.284196226669136"	"-0.0957212813947052"	"-4.75872162964698"	"0.000198753658859388"	"0.855591545777566"
"MNC5700389"	"Contig13370"	"-0.24862355813593"	"-0.00357648349265657"	"-4.74948310710214"	"0.000202603101518609"	"0.83735759720298"
